FID,CSA2010,afford_2010,afford_2011,afford_2012,afford_2013,afford_2014,afford_2015,afford_2016,afford_2017,afford_2018
1,Allendale/Irvington/S. Hilton,49.42386831,49.2815534,49.42386831,44.08906883,50.8268,47.37299175,45.51920341,43.4559851,47.19438878
2,Beechfield/Ten Hills/West Hills,42.08664898,44.76821192,42.08664898,42.27171492,37.4517,36.56236605,36.03133159,33.64806867,33.53048226
3,Belair-Edison,40.3721205,43.2165065,40.3721205,41.05823234,42.6693,41.73441734,38.76717416,40.08248969,42.31458259
4,Brooklyn/Curtis Bay/Hawkins Point,43.66715758,42.07188161,43.66715758,36.14551084,33.0502,32.85593934,29.53367876,23.49726776,28.08798646
5,Canton,35.62355658,35.68181818,35.62355658,32.86985539,29.8454,25,23.38334196,20.20148462,17.42344245
6,Cedonia/Frankford,49.79647218,53.28879753,49.79647218,48.25788752,43.619,42.20347648,39.9607953,39.44877506,39.97260274
7,Cherry Hill,24.89082969,25.34722222,24.89082969,36.29893238,41.629,36.32075472,36.16071429,26.92307692,23.33333333
8,Chinquapin Park/Belvedere,35.61064087,34.19654714,35.61064087,34.30604982,31.8367,36.04240283,39.19206237,37.54410727,30.63707946
9,Claremont/Armistead,46.06299213,48.72340426,46.06299213,34.85113835,33.8164,36.24382208,40.31007752,46.78899083,46.37904468
10,Clifton-Berea,44.68085106,42.77620397,44.68085106,52.5107604,54.5939,56.78073511,51.43603133,48.75621891,48.99713467
11,Cross-Country/Cheswolde,43.34448161,48.05013928,43.34448161,53.20910973,43.7688,43.60960496,38.05243446,39.22413793,40.96551724
12,Dickeyville/Franklintown,30.90909091,34.72803347,30.90909091,39.66480447,26.5193,33.51648352,22.22222222,21.3836478,20.16129032
13,Dorchester/Ashburton,48.89867841,46.70807453,48.89867841,50.02915452,50.3777,43.67293965,36.33049818,39.61267606,44.20731707
14,Downtown/Seton Hill,58.89570552,58.79396985,58.89570552,65.71428571,50.2347,42.85714286,35.71428571,50.23041475,47.30538922
15,Edmondson Village,58.09061489,60.86221471,58.09061489,53.54545455,49.661,48.32618026,46.91865242,43.34203655,34.08884859
16,Fells Point,41.25560538,37.91844187,41.25560538,31.51476252,27.7702,25.30909091,22.07876049,22.88188002,20.77997672
17,Forest Park/Walbrook,49.90085922,47.81021898,49.90085922,40.82363474,38.9972,35.53639847,32.60672116,33.74667848,31.58319871
18,Glen-Fallstaff,43.33333333,43.02277433,43.33333333,47.22727273,48.0458,47.48235294,39.65046423,37.46701847,36.43083421
19,Greater Charles Village/Barclay,34.68067906,34.85254692,34.68067906,37.18181818,39.5756,37.81439722,39.40972222,34.47154472,29.74068071
20,Greater Govans,36.32452366,36.56114215,36.32452366,41.87983343,42,43.5154707,45.99236641,46.95759066,41.16915423
21,Greater Mondawmin,40.08298755,38.07251908,40.08298755,31.47410359,31.1927,31.33940182,33.54271357,40.91456077,41.53318078
22,Greater Roland Park/Poplar Hill,28.26086957,27.39975699,28.26086957,34.68309859,33.8462,31.67892157,28.26362484,25.01676727,26.26395272
23,Greater Rosemont,45.53763441,45.73726542,45.53763441,48.39572193,51.0341,48.94514768,47.50166556,47.45417515,47.85407725
24,Greenmount East,43.51978172,46.56160458,43.51978172,48.03370787,49.5161,48.9291598,50.95846645,53.40136054,53.4591195
25,Hamilton,41.33422729,39.06198754,41.33422729,42.60869565,41.3255,41.7828201,40.38271198,35.68340539,30.62808751
26,Harbor East/Little Italy,36.41791045,26.47058824,36.41791045,34.43877551,33.4,39.85849057,50.99778271,37.52808989,44.20485175
27,Harford/Echodale,35.11705686,37.0381869,35.11705686,35.14106583,37.0023,37.65129212,36.71052632,33.81483913,31.77570093
28,Highlandtown,37.91304348,38.92267593,37.91304348,26.63865546,27.3983,25.12820513,20.85201794,18.51851852,20.45616536
29,Howard Park/West Arlington,55.03199535,60.07088009,55.03199535,52.41886099,50.8133,48.6535009,44.66292135,42.72675414,45.26748971
30,Inner Harbor/Federal Hill,28.16685802,29.43469786,28.16685802,28.83939039,31.1187,28.46486062,25.12901945,23.85433715,20.57074911
31,Lauraville,46.15625,44.35533621,46.15625,40.4233871,34.4741,32.70663356,33.64485981,27.89553369,28.35190165
32,Loch Raven,31.57294833,38.99328859,31.57294833,40.92565598,41.3382,44.50431034,36.42671292,34.78441128,36.88833124
33,Madison/East End,43.20987654,35.64593301,43.20987654,31.51658768,42.2785,38.28715365,41.62679426,34.14634146,35.34883721
34,Medfield/Hampden/Woodberry/Remington,33.13840156,31.96955281,33.13840156,28.79246552,31.397,29.3369976,25.53640521,24.36069987,25.12970169
35,Midtown,28.82539683,26.10043397,28.82539683,28.96500372,31.7675,31.97093551,23.31560284,20.37533512,18.17472699
36,Midway/Coldstream,31.20706575,35.16720604,31.20706575,35.60606061,36.1507,43.17460317,44.332211,38.28740157,42.53450439
37,Morrell Park/Violetville,40.24390244,35.58994197,40.24390244,38.75409836,41.0803,35.58917197,33.67834395,35.1993865,31.26637555
38,Mount Washington/Coldspring,33.80753138,29.89778535,33.80753138,26.66666667,28.8603,29.8394712,30.33707865,30.68181818,28.33333333
39,North Baltimore/Guilford/Homeland,28.54115154,29.90720914,28.54115154,32.16266174,29.6892,27.86946737,30.52018916,28.24005891,26.58889783
40,Northwood,35.74244415,37.54385965,35.74244415,36.29546307,40.2466,41.29666012,41.47196262,40.70038911,39.15241058
41,Oldtown/Middle East,51.94805195,49.11392405,51.94805195,45.20547945,34.6457,36.92946058,34.08360129,37.11656442,38.22714681
42,Orangeville/East Highlandtown,47.78037383,48.6266531,47.78037383,50.76775432,40.1544,32.42453749,38.26578699,34.91644679,36.04358759
43,Patterson Park North & East,36.46125117,35.17145505,36.46125117,33.02521008,27.7411,26.59110724,24.70588235,23.5386426,22.75615568
44,Penn North/Reservoir Hill,47.82608696,48.47457627,47.82608696,45.92511013,42.5885,36.86006826,35.52915767,28.93569845,28.35820896
45,Pimlico/Arlington/Hilltop,42.96388543,42.1865349,42.96388543,50.22278803,46.9402,45.81763376,50.04009623,45.44666088,35.89494163
46,Poppleton/The Terraces/Hollins Market,30.5019305,29.26267281,30.5019305,41.27906977,43.0605,31.67701863,30.59490085,26.19047619,28.5012285
47,Sandtown-Winchester/Harlem Park,37.6371308,38.30935252,37.6371308,35.64695801,38.8707,41.00895037,40.96671949,41.27423823,46.03340292
48,South Baltimore,37.59942155,35.88039867,37.59942155,28.31184056,30.2128,23.8648948,20.09884679,21.31147541,20.93294461
49,Southeastern,42.33668342,41.07579462,42.33668342,40.56603774,44.4145,53.62731152,50.92724679,50.2170767,55.14592934
50,Southern Park Heights,41.8236624,47.40511232,41.8236624,42.62008734,44.2248,46.25267666,49.13043478,41.6772554,58.83211679
51,Southwest Baltimore,41.94373402,41.58674804,41.94373402,31.67825223,30.6481,31.35186961,30.76923077,37.72241993,29.77667494
52,The Waverlies,37.89991797,39.72380179,37.89991797,36.53044204,33.8694,36.90702087,32.74336283,32.68641471,33.67139959
53,Upton/Druid Heights,49.12280702,37.66937669,49.12280702,31.86582809,32.9832,25.71428571,25.87155963,21.9600726,17.77003484
54,Washington Village/Pigtown,41.94669757,46.44549763,41.94669757,37.59086189,38.5475,37.33480176,38.86363636,38.2746051,25.87412587
55,Westport/Mount Winans/Lakeland,39.35558113,41.05960265,39.35558113,45.58080808,47.2991,44.34889435,45.25,45.44179523,38.00298063